worker_count,total_tasks_submitted,successful_submissions,failed_submissions,actual_completed_tasks,tasks_completed_per_second,tasks_submitted_per_second,concurrent_users,duration_seconds,tasks_completed_per_worker,task_completion_rate
3,7902,7902,0,750,37.03248769293199,390.1742903327314,50,20.252487659454346,{},0.09491268033409264
4,8600,8600,0,1060,52.379304028415035,424.964164758839,50,20.237000465393066,{},0.12325581395348838
8,8150,8150,0,2090,103.05094558323879,401.8493811021034,50,20.281230688095093,{},0.25644171779141106
