worker_count,total_tasks_submitted,successful_submissions,failed_submissions,actual_completed_tasks,tasks_completed_per_second,tasks_submitted_per_second,concurrent_users,duration_seconds,tasks_completed_per_worker,task_completion_rate
3,7832,7832,0,610,30.16160861853532,387.2552765579813,50,20.224385499954224,{},0.0778855975485189
4,8100,8100,0,1130,55.836304357465934,400.24253565971156,50,20.2377290725708,{},0.13950617283950617
8,8051,8051,0,2160,106.59616745237301,397.3174741477107,50,20.263392686843872,{},0.26828965345919764
