worker_count,total_requests,successful_requests,failed_requests,avg_latency,p95_latency,p99_latency,min_latency,max_latency,requests_per_second,concurrent_users,duration_seconds
1,23151,23151,0,0.1297311507663296,0.1766810894012451,0.18918369293212892,0.05674099922180176,0.22739386558532715,385.2400517091613,50,60.09499764442444
2,22252,22252,0,0.13483224733900556,0.18542196750640869,0.22363924980163574,0.03616809844970703,0.2582240104675293,370.5930435068569,50,60.04430031776428
4,20150,20150,0,0.1490877408011084,0.20598282814025878,0.23294845819473267,0.10727047920227051,0.27666234970092773,335.2117127907207,50,60.11126470565796
6,18748,18748,0,0.16036860100211225,0.2452799439430237,0.2799603533744812,0.09282326698303223,0.41977810859680176,311.61447449000536,50,60.16408586502075
8,18597,18597,0,0.1615804976953411,0.24711101055145263,0.29149389266967773,0.05146932601928711,0.3403623104095459,309.3020957010532,50,60.12568378448486
